"seed","n","p","q","arm","ok","beta_rmse","sigma_rel_frob","frob_Shat","sigma_trace","trace_ratio","sigma_collapse","sigma_runaway","secs","pass_abs","err"
11203,120,8,2,"gtmb_la",TRUE,0.18221009591405,1.51390964902046,2.74227925949741,3.72933454332407,2.22029109219873,FALSE,TRUE,0.954000000000001,FALSE,NA
11204,120,8,2,"gtmb_poisg",TRUE,0.117049365058455,0.999999999971295,7.96452801220295e-11,9.01543799832607e-11,5.56627283577288e-11,TRUE,FALSE,1.19,FALSE,"healthy"
11204,120,8,2,"gllvm_va",TRUE,0.117048425300885,0.999999999912167,3.93397161309508e-10,4.42269323620217e-10,2.73064017812551e-10,TRUE,FALSE,0.120999999999999,FALSE,"ok"
11204,120,8,2,"gtmb_gh",TRUE,0.133117221538826,1.6408027886524,2.36515366171297,3.29681334941685,2.03550427554154,FALSE,TRUE,2.022,FALSE,"healthy"
11204,120,8,2,"gtmb_la",TRUE,0.132569431318747,1.47717094043257,2.11666903206633,2.90945200111936,1.79634130297637,FALSE,FALSE,1.082,FALSE,NA
11205,120,8,2,"gtmb_poisg",TRUE,0.103566385487324,0.999999999946006,9.48921422764206e-11,9.55379699707231e-11,5.89106393109944e-11,TRUE,FALSE,1.207,FALSE,"healthy"
11205,120,8,2,"gllvm_va",TRUE,0.10356612099503,0.999999999993533,3.13472298240859e-11,3.28139021279428e-11,2.02337139174916e-11,TRUE,FALSE,0.113,FALSE,"ok"
11205,120,8,2,"gtmb_gh",TRUE,0.109789340989761,2.01383771184515,3.15868030664651,4.26811917185566,2.63180837050002,FALSE,TRUE,2.039,FALSE,"healthy"
11205,120,8,2,"gtmb_la",TRUE,0.11009975561954,1.57380491362425,2.605962076765,3.55512766503429,2.1921634261598,FALSE,TRUE,0.797000000000001,FALSE,NA
11206,120,8,2,"gtmb_poisg",TRUE,0.118371222871202,0.999999999971716,6.12183281022577e-11,8.46498135630275e-11,5.15956711196673e-11,TRUE,FALSE,1.325,FALSE,"healthy"
11206,120,8,2,"gllvm_va",TRUE,0.118371453181401,0.999999999998569,7.91312482840603e-12,1.10383460281227e-11,6.7280818161289e-12,TRUE,FALSE,0.097999999999999,FALSE,"ok"
11206,120,8,2,"gtmb_gh",TRUE,0.130807177783944,1.04039472951331,1.75958745510461,2.48304921815276,1.51346571765769,FALSE,FALSE,1.89,FALSE,"healthy"
11206,120,8,2,"gtmb_la",TRUE,0.12986231534194,0.970278034482704,1.6209040755749,2.28967502716773,1.39560047092957,FALSE,FALSE,0.975999999999999,FALSE,NA
11207,120,8,2,"gtmb_poisg",TRUE,0.104731910723315,0.999999999960313,1.98919313157326e-10,2.18126338082439e-10,1.14522786164406e-10,TRUE,FALSE,1.239,FALSE,"healthy"
11207,120,8,2,"gllvm_va",TRUE,0.104732394069947,0.999999999922378,5.33549057189809e-10,5.34859327650194e-10,2.80816984079065e-10,TRUE,FALSE,0.102,FALSE,"ok"
11207,120,8,2,"gtmb_gh",TRUE,0.138880527174837,1.40396133688572,2.85706044521284,4.02850841333639,2.11508620021699,FALSE,FALSE,1.719,FALSE,"healthy"
11207,120,8,2,"gtmb_la",TRUE,0.122537108867709,1.03265441664094,2.24676043734201,3.15731093833395,1.65768172988216,FALSE,FALSE,1.006,FALSE,NA
11208,120,8,2,"gtmb_poisg",TRUE,0.145750740602806,0.999999999963848,1.31758314238244e-10,1.38498177195552e-10,8.90393214221063e-11,TRUE,FALSE,1.3,FALSE,"healthy"
