"family","n_slope","n_sp","n_rep","seed","x_sd","slope_scale","conv","pdHess","max_sigma_diff","slope_var_ratio_1","slope_var_ratio_2","slope_var_ratio_3","slope_var_ratio_4","slope_var_ratio_min","slope_var_ratio_max","slope_var_ratios","sigma_eigen_min","sigma_eigen_max","sigma_condition","truth_condition","fit_objective","fit_iterations","family_param_min","family_param_max","eta_min","eta_max","eta_sd","x_abs_cor_max","response_mean","response_min","response_max","response_zero_frac","response_boundary_frac","strict_recovered","loose_recovered","failure_reason","note"
"Beta",1,300,10,403,1,1,0,TRUE,0.1561,1.39,0.967,NA,NA,0.967,1.39,"1.39;0.967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",1,300,10,403,1,1,0,TRUE,0.1953,1.488,1.166,NA,NA,1.166,1.488,"1.488;1.166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"ordinal_probit",1,300,10,403,1,1,0,TRUE,0.2258,0.436,1.412,NA,NA,0.436,1.412,"0.436;1.412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,"low_ratio",NA
"gaussian",1,600,10,403,1,1,0,TRUE,0.0608,0.875,1.111,NA,NA,0.875,1.111,"0.875;1.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"poisson",1,600,10,403,1,1,0,TRUE,0.2569,0.628,0.988,NA,NA,0.628,0.988,"0.628;0.988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"nbinom2",1,600,10,403,1,1,0,TRUE,0.1886,0.927,0.615,NA,NA,0.615,0.927,"0.927;0.615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Gamma",1,600,10,403,1,1,0,TRUE,0.2327,0.662,0.99,NA,NA,0.662,0.99,"0.662;0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"Beta",1,600,10,403,1,1,0,TRUE,0.1683,0.902,1.101,NA,NA,0.902,1.101,"0.902;1.101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"binomial",1,600,10,403,1,1,0,TRUE,0.172,0.671,1.483,NA,NA,0.671,1.483,"0.671;1.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
"ordinal_probit",1,600,10,403,1,1,0,TRUE,0.2537,0.734,0.527,NA,NA,0.527,0.734,"0.734;0.527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,"pass",NA
