"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11412,120,8,2,"gtmb_va",TRUE,FALSE,0.0464693322592572,0.529488935322988,1.42905024175663,FALSE,FALSE,5.57115852597702,7.13715821762384e-05,NA,1.988,FALSE,"status=failed_health_gate"
11412,120,8,2,"gtmb_la",TRUE,TRUE,0.0470994934842328,0.448182268479169,1.20308315395037,FALSE,FALSE,5.32017499982086,0.000210602875802157,0.573470293759978,0.393000000000001,TRUE,NA
11412,120,8,2,"gllvm_la",TRUE,TRUE,0.0749023936588261,0.810736726108299,0.508674693960836,FALSE,FALSE,3471727319596780,NA,0.528353507007875,4.051,FALSE,NA
11412,120,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11401,400,8,2,"gtmb_va",TRUE,FALSE,0.0354142172818337,0.306612064220688,0.867831351237395,FALSE,FALSE,4.97590805993197,0.000157225856222437,NA,10.153,TRUE,"status=failed_health_gate"
11401,400,8,2,"gtmb_la",TRUE,TRUE,0.0356701257698799,0.382694965950557,0.735539898146791,FALSE,FALSE,4.86796833501585,0.000425529895350107,0.51253016770088,0.966000000000001,TRUE,NA
11401,400,8,2,"gllvm_la",TRUE,TRUE,0.0582060412752426,0.694058818123467,0.631771790965508,FALSE,FALSE,1826204.4129281,NA,0.749289087778591,10.109,FALSE,NA
11401,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11402,400,8,2,"gtmb_va",TRUE,FALSE,0.0631880774844573,0.295687976668924,2.19331372137742,FALSE,FALSE,5.35353650440066,0.000156114107132677,NA,11.067,TRUE,"status=failed_health_gate"
11402,400,8,2,"gtmb_la",TRUE,TRUE,0.062676001675781,0.209431914880281,2.05154322268855,FALSE,FALSE,5.21955135593641,0.000407239622395306,0.844558952291472,1.169,TRUE,NA
11402,400,8,2,"gllvm_la",TRUE,TRUE,0.0682489022374325,0.628984880824098,0.952915167952445,FALSE,FALSE,4112737.18510111,NA,0.762749075159861,10.709,FALSE,NA
11402,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11403,400,8,2,"gtmb_va",TRUE,FALSE,0.0284490457460155,0.26497817165236,1.44778340209614,FALSE,FALSE,5.07903351712952,0.000129198026158073,NA,9.864,TRUE,"status=failed_health_gate"
11403,400,8,2,"gtmb_la",TRUE,TRUE,0.0278027181581888,0.211848919330576,1.3451726592811,FALSE,FALSE,5.01256465353203,0.000201247527842341,0.69833143974584,0.966999999999999,TRUE,NA
11403,400,8,2,"gllvm_la",TRUE,TRUE,0.0638780161374214,0.67293217785156,0.729907083406171,FALSE,FALSE,5015213.39663083,NA,0.603015463176917,30.231,FALSE,NA
11403,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11404,400,8,2,"gtmb_va",TRUE,FALSE,0.0328293878779398,0.243633048209208,1.35970202331111,FALSE,FALSE,5.26838289650986,8.86332653435573e-05,NA,14.206,TRUE,"status=failed_health_gate"
11404,400,8,2,"gtmb_la",TRUE,TRUE,0.0317434258950594,0.20706962948568,1.17211584530606,FALSE,FALSE,5.04741892235362,0.000261352769582335,0.520758607762606,1.319,TRUE,NA
11404,400,8,2,"gllvm_la",TRUE,TRUE,0.0624287453985692,0.608564013638244,0.729867766542501,FALSE,FALSE,67.642372247106,NA,0.750398781280145,6.956,FALSE,NA
11404,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11405,400,8,2,"gtmb_va",TRUE,FALSE,0.0489045370519114,0.211782674345943,1.16986174109593,FALSE,FALSE,4.89292903456793,7.94235630924289e-05,NA,11.523,TRUE,"status=failed_health_gate"
11405,400,8,2,"gtmb_la",TRUE,TRUE,0.0494805157535115,0.374472103302071,0.990879707379636,FALSE,FALSE,4.82821657645633,0.000579542741321964,0.517483937517633,2.48,TRUE,NA
11405,400,8,2,"gllvm_la",TRUE,TRUE,0.0736470421951309,0.661952256425385,0.714739956454019,FALSE,FALSE,663844.209069852,NA,0.761675794525352,11.961,FALSE,NA
11405,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00100000000000477,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
